batch,subject_id,timepoint,gender,filename,total_weight,soft_weight,lean_weight,fat_weight,fat_percent,bmc,bmd,bone_area,sample_area
Batch_1,B1_M_1,Week_0,Male,B1_M_1 Week -1.txt,33.6111,32.8408,24.3109,8.5299,25.974,0.77028,80.063,9.621,34.235
Batch_1,B1_M_4,Week_0,Male,B1_M_4 Week -1.txt,36.7926,36.0004,27.309,8.6915,24.143,0.79218,78.021,10.153,35.829
Batch_1,B1_M_2,Week_0,Male,B1_M_2 Week -1.txt,34.6375,33.8267,25.9896,7.8371,23.168,0.81076,77.582,10.45,33.848
Batch_1,B1_M_0,Week_0,Male,B1_M_0 Week -1.txt,34.4279,33.5655,25.2839,8.2817,24.673,0.86234,79.147,10.895,34.561
Batch_1,B1_M_3,Week_0,Male,B1_M_3 Week -1.txt,36.2557,35.4778,28.3093,7.1685,20.205,0.77788,76.444,10.176,34.703
Batch_1,B1_F_0,Week_0,Female,B1_F_0 Week -1.txt,28.072,27.2912,19.0605,8.2307,30.159,0.78078,75.03,10.406,33.166
Batch_1,B1_F_3,Week_0,Female,B1_F_3 Week -1.txt,32.2161,31.4347,21.2246,10.2101,32.48,0.78141,79.108,9.878,34.684
Batch_1,B1_F_1,Week_0,Female,B1_F_1 Week -1.txt,28.9082,28.1397,20.6865,7.4532,26.487,0.76849,74.802,10.274,33.065
Batch_1,B1_F_4,Week_0,Female,B1_F_4 Week -1.txt,29.7792,29.0502,19.9609,9.0893,31.288,0.72904,74.984,9.723,34.567
Batch_1,B1_F_2,Week_0,Female,B1_F_2 Week -1.txt,32.2745,31.3426,18.9033,12.4392,39.688,0.93193,79.482,11.725,35.628
Batch_1,B1_M_3,Week_1,Male,B1_M_3 Week 1.txt,35.5262,34.6177,25.6399,8.9778,25.934,0.90852,82.547,11.006,34.816
Batch_1,B1_M_1,Week_1,Male,B1_M_1 Week 1.txt,33.2462,32.4157,23.7041,8.7116,26.875,0.83055,80.524,10.314,33.099
Batch_1,B1_M_4,Week_1,Male,B1_M_4 Week 1.txt,37.3407,36.3216,26.634,9.6877,26.672,1.01912,87.633,11.629,36.276
Batch_1,B1_M_2,Week_1,Male,B1_M_2 Week 1.txt,34.4093,33.2978,19.5697,13.7281,41.228,1.11155,86.44,12.859,33.309
Batch_1,B1_M_0,Week_1,Male,B1_M_0 Week 1.txt,33.0348,32.3443,25.0242,7.3201,22.632,0.69052,75.406,9.157,33.471
Batch_1,B1_F_1,Week_1,Female,B1_F_1 Week 1.txt,29.6267,28.8138,21.8363,6.9775,24.216,0.81286,81.444,9.981,34.226
Batch_1,B1_F_4,Week_1,Female,B1_F_4 Week 1.txt,30.5251,29.7872,20.4675,9.3197,31.287,0.7379,73.931,9.981,33.738
Batch_1,B1_F_3,Week_1,Female,B1_F_3 Week 1.txt,30.8878,30.1002,20.1605,9.9397,33.022,0.78761,78.559,10.026,32.405
Batch_1,B1_F_0,Week_1,Female,B1_F_0 Week 1.txt,27.9316,27.1308,18.5689,8.5619,31.558,0.80076,76.534,10.463,32.851
Batch_1,B1_F_2,Week_1,Female,B1_F_2 Week 1.txt,33.2939,32.3683,19.108,13.2603,40.967,0.92561,86.328,10.722,33.502
Batch_1,B1_M_3,Week_2,Male,B1_M_3 Week 2.txt,32.8658,32.2027,24.6043,7.5984,23.596,0.66314,70.956,9.346,31.599
Batch_1,B1_M_1,Week_2,Male,B1_M_1 Week 2.txt,31.3001,30.629,21.8478,8.7813,28.67,0.67104,76.454,8.777,29.438
Batch_1,B1_M_4,Week_2,Male,B1_M_4 Week 2.txt,34.6607,33.8781,25.0565,8.8216,26.039,0.78261,79.41,9.855,31.832
Batch_1,B1_M_2,Week_2,Male,B1_M_2 Week 2.txt,32.7764,32.1602,24.5049,7.6553,23.804,0.6162,70.391,8.754,30.928
Batch_1,B1_M_0,Week_2,Male,B1_M_0 Week 2.txt,30.2365,29.6383,21.6872,7.9511,26.827,0.59819,69.766,8.574,30.124
Batch_1,B1_F_1,Week_2,Female,B1_F_1 Week 2.txt,26.2504,25.6472,18.4088,7.2384,28.223,0.60324,71.759,8.407,27.436
Batch_1,B1_F_4,Week_2,Female,B1_F_4 Week 2.txt,28.5915,27.7887,17.4867,10.302,37.073,0.80278,81.062,9.903,28.86
Batch_1,B1_F_3,Week_2,Female,B1_F_3 Week 2.txt,30.773,29.9947,18.8508,11.1439,37.153,0.77825,76.21,10.212,32.775
Batch_1,B1_F_0,Week_2,Female,B1_F_0 Week 2.txt,24.8962,24.305,15.3373,8.9677,36.897,0.59124,67.629,8.742,28.361
Batch_1,B1_F_2,Week_2,Female,B1_F_2 Week 2.txt,31.9114,31.1221,17.5007,13.6215,43.768,0.78922,78.865,10.007,31.141
Batch_1,B1_M_3,Week_3,Male,B1_M_3 Week 4.txt,30.9094,30.2402,23.2217,7.0185,23.209,0.66916,70.445,9.499,32.787
Batch_1,B1_M_4,Week_3,Male,B1_M_4 Week 4.txt,32.5611,31.7249,23.9459,7.779,24.52,0.83618,82.97,10.078,31.151
Batch_1,B1_M_1,Week_3,Male,B1_M_1 Week 4.txt,29.5263,28.8462,21.1039,7.7423,26.84,0.6801,76.301,8.913,28.834
Batch_1,B1_M_2,Week_3,Male,B1_M_2 Week 4.txt,29.9219,29.2772,22.6645,6.6126,22.586,0.64476,73.287,8.798,29.844
Batch_1,B1_M_0,Week_3,Male,B1_M_0 Week 4.txt,28.5474,27.9598,21.5692,6.3906,22.856,0.58769,69.642,8.439,29.927
Batch_1,B1_F_4,Week_3,Female,B1_F_4 Week 4.txt,28.2712,27.3917,18.0782,9.3135,34.001,0.87952,85.015,10.345,29.83
Batch_1,B1_F_1,Week_3,Female,B1_F_1 Week 4.txt,26.4028,25.6642,18.5506,7.1136,27.718,0.73863,77.11,9.579,29.158
Batch_1,B1_F_3,Week_3,Female,B1_F_3 Week 4.txt,28.1561,27.4938,17.7815,9.7123,35.325,0.6623,74.013,8.948,30.581
Batch_1,B1_F_0,Week_3,Female,B1_F_0 Week 4.txt,25.1351,24.5509,16.3674,8.1835,33.333,0.58417,67.132,8.702,29.72
Batch_1,B1_F_2,Week_3,Female,B1_F_2 Week 4.txt,29.2977,28.484,16.5102,11.9738,42.037,0.81368,82.461,9.868,29.871
Batch_1,B1_M_4,Post_Scan,Male,B1_M_4 Post-Scan.txt,32.9686,32.013,24.7921,7.2209,22.556,0.95555,89.197,10.713,32.497
Batch_1,B1_M_0,Post_Scan,Male,B1_M_0 Post-Scan.txt,29.4613,28.8461,21.4324,7.4137,25.701,0.61524,73.498,8.371,30.851
Batch_1,B1_M_3,Post_Scan,Male,B1_M_3 Post-Scan.txt,31.0257,30.3132,23.5778,6.7354,22.219,0.7125,75.578,9.427,32.884
Batch_1,B1_M_2,Post_Scan,Male,B1_M_2 Post-Scan.txt,30.1598,29.5371,22.7666,6.7705,22.922,0.62274,71.752,8.679,30.132
Batch_1,B1_M_1,Post_Scan,Male,B1_M_1 Post-Scan.txt,31.2457,30.4776,22.8684,7.6092,24.966,0.76809,83.453,9.204,30.498
Batch_1,B1_F_0,Post_Scan,Female,B1_F_0 Post Scan.txt,24.6142,24.0524,16.3376,7.7148,32.075,0.56183,65.045,8.638,28.684
Batch_1,B1_F_2,Post_Scan,Female,B1_F_2 Post-Scan.txt,28.564,27.6545,16.5463,11.1082,40.168,0.90947,87.129,10.438,31.507
Batch_1,B1_F_4,Post_Scan,Female,B1_F_4 Post-Scan.txt,28.6192,27.6776,18.8424,8.8353,31.922,0.94156,88.785,10.605,30.621
Batch_1,B1_F_3,Post_Scan,Female,B1_F_3 Post-Scan.txt,28.3181,27.5746,17.6062,9.9685,36.151,0.74347,77.066,9.647,29.882
Batch_1,B1_F_1,Post_Scan,Female,B1_F_1 Post Scan.txt,26.6498,25.9056,19.2184,6.6872,25.814,0.7442,78.935,9.428,30.864
Batch_1,B1_M_2,Root,Unknown,B1_M_2 Week 1 Redo.txt,34.4093,33.2978,19.5697,13.7281,41.228,1.11155,86.44,12.859,33.309
