batch,subject_id,timepoint,gender,filename,total_weight,soft_weight,lean_weight,fat_weight,fat_percent,bmc,bmd,bone_area,sample_area
Batch_2,B2_M_2,Pre_Scan,Male,B2_M_2 Pre-Scan.txt,32.2881,31.5471,21.0373,10.5098,33.315,0.74106,73.154,10.13,34.106
Batch_2,B2_M_4,Pre_Scan,Male,B2_M_4 Pre-Scan.txt,30.8855,30.224,22.2516,7.9724,26.378,0.66149,71.247,9.285,31.848
Batch_2,B2_M_3,Pre_Scan,Male,B2_M_3 Pre-Scan.txt,33.5043,32.7811,21.6059,11.1753,34.091,0.72315,73.632,9.821,33.968
Batch_2,B2_M_1,Pre_Scan,Male,B2_M_1 Pre-Scan.txt,33.0609,32.3319,23.6437,8.6881,26.872,0.72908,73.319,9.944,33.853
Batch_2,B2_M_0,Pre_Scan,Male,B2_M_0 Pre-Scan.txt,30.2472,29.519,21.9685,7.5505,25.578,0.72822,74.264,9.806,32.461
Batch_2,B2_F_2,Pre_Scan,Female,B2_F_2 Pre-Scan.txt,30.6391,29.9853,16.7688,13.2165,44.077,0.65375,68.933,9.484,31.805
Batch_2,B2_F_3,Pre_Scan,Female,B2_F_3 Pre-Scan.txt,28.7504,28.15,16.4967,11.6533,41.397,0.60035,64.95,9.243,30.672
Batch_2,B2_F_4,Pre_Scan,Female,B2_F_4 Pre-Scan.txt,29.5353,28.8982,17.4086,11.4896,39.759,0.63712,69.236,9.202,32.216
Batch_2,B2_F_1,Pre_Scan,Female,B2_F_1 Pre-Scan.txt,31.1844,30.5028,18.3014,12.2014,40.001,0.68161,71.385,9.548,32.635
Batch_2,B2_F_0,Pre_Scan,Female,B2_F_0 Pre-Scan.txt,22.9986,22.4764,13.4403,9.0362,40.203,0.5222,64.23,8.13,27.647
Batch_2,B2_M_2,Pre_Scan,Male,B2_M_2 Pre-Scan.txt,32.2881,31.5471,21.0373,10.5098,33.315,0.74106,73.154,10.13,34.106
Batch_2,B2_M_4,Pre_Scan,Male,B2_M_4 Pre-Scan.txt,30.8855,30.224,22.2516,7.9724,26.378,0.66149,71.247,9.285,31.848
Batch_2,B2_M_3,Pre_Scan,Male,B2_M_3 Pre-Scan.txt,33.5043,32.7811,21.6059,11.1753,34.091,0.72315,73.632,9.821,33.968
Batch_2,B2_M_1,Pre_Scan,Male,B2_M_1 Pre-Scan.txt,33.0609,32.3319,23.6437,8.6881,26.872,0.72908,73.319,9.944,33.853
Batch_2,B2_M_0,Pre_Scan,Male,B2_M_0 Pre-Scan.txt,30.2472,29.519,21.9685,7.5505,25.578,0.72822,74.264,9.806,32.461
Batch_2,B2_F_2,Pre_Scan,Female,B2_F_2 Pre-Scan.txt,30.6391,29.9853,16.7688,13.2165,44.077,0.65375,68.933,9.484,31.805
Batch_2,B2_F_3,Pre_Scan,Female,B2_F_3 Pre-Scan.txt,28.7504,28.15,16.4967,11.6533,41.397,0.60035,64.95,9.243,30.672
Batch_2,B2_F_4,Pre_Scan,Female,B2_F_4 Pre-Scan.txt,29.5353,28.8982,17.4086,11.4896,39.759,0.63712,69.236,9.202,32.216
Batch_2,B2_F_1,Pre_Scan,Female,B2_F_1 Pre-Scan.txt,31.1844,30.5028,18.3014,12.2014,40.001,0.68161,71.385,9.548,32.635
Batch_2,B2_F_0,Pre_Scan,Female,B2_F_0 Pre-Scan.txt,22.9986,22.4764,13.4403,9.0362,40.203,0.5222,64.23,8.13,27.647
Batch_2,B2_M_4,Week_1,Male,B2_M_4.txt,29.8394,29.2008,21.7396,7.4612,25.551,0.63861,74.137,8.614,28.313
Batch_2,B2_M_3,Week_1,Male,B2_M_3.txt,32.6111,31.8784,19.7818,12.0966,37.946,0.73273,73.176,10.013,32.091
