batch,subject_id,timepoint,gender,filename,total_weight,soft_weight,lean_weight,fat_weight,fat_percent,bmc,bmd,bone_area,sample_area
Batch_3,B3_M_0,Pre_Scan,Male,B3_M_0.txt,35.5679,34.7521,23.7603,10.9918,31.629,0.81583,79.823,10.221,35.091
Batch_3,B3_M_1,Pre_Scan,Male,B3_M_1.txt,37.4815,36.3929,24.4471,11.9458,32.824,1.08861,92.95,11.712,37.581
Batch_3,B3_M_3,Pre_Scan,Male,B3_M_3.txt,35.2593,34.2374,21.9613,12.276,35.856,1.0219,95.698,10.678,34.005
Batch_3,B3_M_2,Pre_Scan,Male,B3_M_2.txt,37.12,36.1086,22.4425,13.6662,37.847,1.01141,90.226,11.21,35.085
Batch_3,B3_M_4,Pre_Scan,Male,B3_M_4.txt,35.7049,34.6436,23.5031,11.1406,32.158,1.06125,91.62,11.583,34.495
Batch_3,B3_F_1,Pre_Scan,Female,B3_F_1.txt,26.6689,25.9626,18.1603,7.8023,30.052,0.7063,72.555,9.735,29.46
Batch_3,B3_F_0,Pre_Scan,Female,B3_F_0.txt,27.7271,26.9808,18.2249,8.7559,32.452,0.74629,74.276,10.048,30.956
Batch_3,B3_F_2,Pre_Scan,Female,B3_F_2.txt,28.4479,27.6912,18.8713,8.8199,31.851,0.75672,74.655,10.136,31.697
Batch_3,B3_F_3,Pre_Scan,Female,B3_F_3.txt,26.9328,26.1958,18.4826,7.7132,29.444,0.73696,74.047,9.953,30.198
Batch_3,B3_F_4,Pre_Scan,Female,B3_F_4.txt,28.2507,27.5077,21.0151,6.4926,23.603,0.743,76.055,9.769,31.022
Batch_3,B3_M_0,Week_1,Male,B3_M_0.txt,36.9747,35.8291,21.4947,14.3344,40.008,1.14558,95.62,11.981,35.271
Batch_3,B3_M_1,Week_1,Male,B3_M_1.txt,37.6966,36.4565,21.4977,14.9589,41.032,1.24004,96.8,12.81,36.147
Batch_3,B3_M_3,Week_1,Male,B3_M_3.txt,29.5285,28.5576,21.3781,7.1795,25.14,0.97096,90.707,10.704,31.612
Batch_3,B3_M_2,Week_1,Male,B3_M_2.txt,35.1592,34.1469,23.1708,10.9761,32.144,1.0123,89.479,11.313,33.78
Batch_3,B3_M_4,Week_1,Male,B3_M_4.txt,36.2,35.1642,25.6769,9.4873,26.98,1.03583,91.87,11.275,34.76
Batch_3,B3_F_1,Week_1,Female,B3_F_1.txt,25.4537,24.5122,17.3487,7.1635,29.224,0.94155,92.338,10.197,29.246
Batch_3,B3_F_0,Week_1,Female,B3_F_0.txt,27.5536,26.5749,19.261,7.3139,27.522,0.97869,90.764,10.783,30.463
