batch,subject_id,timepoint,gender,filename,total_weight,soft_weight,lean_weight,fat_weight,fat_percent,bmc,bmd,bone_area,sample_area
Batch_3,B3_F_2,Week_1,Female,B3_F_2.txt,29.8926,28.9158,18.4209,10.4949,36.295,0.97677,89.665,10.894,33.028
Batch_3,B3_F_3,Week_1,Female,B3_F_3.txt,27.0968,26.1526,17.8458,8.3068,31.763,0.94423,90.758,10.404,30.423
Batch_3,B3_F_4,Week_1,Female,B3_F_4.txt,30.0057,29.0584,21.7387,7.3196,25.189,0.94735,90.736,10.441,31.685
Batch_3,B3_M_4,Week_2,Male,B3_M_4 Attempt 2.txt,33.478,32.6254,25.7055,6.92,21.21,0.85256,84.064,10.142,33.434
Batch_3,B3_M_0,Week_2,Male,B3_M_0.txt,35.4958,34.511,21.1516,13.3594,38.711,0.98484,83.364,11.814,36.069
Batch_3,B3_M_1,Week_2,Male,B3_M_1.txt,34.6191,33.7073,24.0272,9.6801,28.718,0.91179,86.432,10.549,36.483
Batch_3,B3_M_3,Week_2,Male,B3_M_3.txt,27.3267,26.5782,20.338,6.2402,23.479,0.74843,77.786,9.622,29.608
Batch_3,B3_M_2,Week_2,Male,B3_M_2.txt,32.4387,31.6475,21.5238,10.1237,31.989,0.79117,77.31,10.234,32.674
Batch_3,B3_M_4,Week_2,Male,B3_M_4.txt,34.7995,33.7745,22.3976,11.3769,33.685,1.02495,92.888,11.034,33.083
Batch_3,B3_F_1,Week_2,Female,B3_F_1.txt,25.6707,24.8852,18.6958,6.1894,24.872,0.7855,85.399,9.198,29.512
Batch_3,B3_F_0,Week_2,Female,B3_F_0.txt,27.6699,26.7151,17.437,9.2781,34.73,0.95488,89.885,10.623,30.286
Batch_3,B3_F_2,Week_2,Female,B3_F_2.txt,28.8104,28.0422,18.2914,9.7507,34.772,0.76824,77.011,9.976,30.991
Batch_3,B3_F_3,Week_2,Female,B3_F_3.txt,27.5562,26.6802,18.646,8.0342,30.113,0.87597,86.247,10.157,30.152
Batch_3,B3_F_4,Week_2,Female,B3_F_4.txt,29.934,29.0706,21.6999,7.3708,25.355,0.8634,84.648,10.2,31.754
Batch_3,B3_M_0,Week_3,Male,B3_M_0.txt,32.5606,31.6603,21.0179,10.6424,33.614,0.90029,85.61,10.516,32.273
Batch_3,B3_M_1,Week_3,Male,B3_M_1.txt,32.9519,32.1021,24.1944,7.9077,24.633,0.84979,82.587,10.29,34.236
Batch_3,B3_M_3,Week_3,Male,B3_M_3.txt,24.0295,23.349,17.0652,6.2838,26.912,0.68055,80.827,8.42,27.399
Batch_3,B3_M_2,Week_3,Male,B3_M_2.txt,32.8726,32.0921,21.5704,10.5217,32.786,0.78048,75.371,10.355,33.073
Batch_3,B3_M_4,Week_3,Male,B3_M_4.txt,32.4288,31.5918,23.161,8.4308,26.687,0.83699,84.812,9.869,32.668
Batch_3,B3_F_1,Week_3,Female,B3_F_1.txt,24.3701,23.5705,17.0106,6.5599,27.831,0.79964,83.008,9.633,28.564
Batch_3,B3_F_0,Week_3,Female,B3_F_0.txt,25.9556,25.1024,17.6628,7.4396,29.637,0.85313,84.49,10.097,27.83
Batch_3,B3_F_2,Week_3,Female,B3_F_2.txt,27.203,26.5443,17.2061,9.3382,35.18,0.65873,71.727,9.184,30.124
Batch_3,B3_F_3,Week_3,Female,B3_F_3.txt,27.4751,26.5266,18.1069,8.4197,31.741,0.94851,91.488,10.368,28.733
Batch_3,B3_M_0,Post_Scan,Male,B3_M_0.txt,33.6558,32.6036,22.9404,9.6632,29.638,1.05215,91.754,11.467,34.563
Batch_3,B3_M_1,Post_Scan,Male,B3_M_1.txt,32.9555,32.0424,22.8594,9.183,28.659,0.91309,90.274,10.115,32.831
Batch_3,B3_M_2,Post_Scan,Male,B3_M_2.txt,32.8737,32.094,22.9991,9.0949,28.338,0.7797,77.492,10.062,33.015
Batch_3,B3_M_4,Post_Scan,Male,B3_M_4.txt,33.8824,32.9562,24.174,8.7822,26.648,0.92617,90.093,10.28,34.13
Batch_3,B3_F_1,Post_Scan,Female,B3_F_1.txt,25.4623,24.5551,17.6361,6.919,28.178,0.90713,89.925,10.088,29.219
Batch_3,B3_F_0,Post_Scan,Female,B3_F_0.txt,26.1617,25.0886,18.6932,6.3954,25.491,1.07309,99.434,10.792,29.438
Batch_3,B3_F_2,Post_Scan,Female,B3_F_2.txt,28.6299,27.8499,18.1405,9.7094,34.863,0.77996,78.485,9.938,31.872
Batch_3,B3_F_3,Post_Scan,Female,B3_F_3.txt,27.4163,26.3777,18.5718,7.8059,29.593,1.03855,95.179,10.912,30.08
